Тип продукта,Продукт,Белки,Жиры,Углеводы,Ккал
Мясо,Свинина,"11,6","49,1",0,484
Мясо,Говядина,"18,7","12,6",0,191
Мясо,Баранина,"16,2","15,3",0,201
Мясо,Телятина,"19,9","1,1",0,91
Мясо,Кролик,"20,6","12,8",0,197
Птица,Курица,"20,4","8,6","0,8",161
Птица,Индейка,"21,1","12,3","0,6",192
Птица,Цыплята,"18,5","7,9","0,5",159
Птица,Утки,"16,4","61,3",0,348
Птица,Гуси,"16,4","33,1",0,359
Колбасные изделия,"Колбаса вареная   ""Докторская""","13,4","22,9",0,257
Колбасные изделия,"Колбаса вареная   ""Любительская""","12,5","28,3",0,311
Колбасные изделия,"Колбаса вареная   ""Молочная""","11,1","22,5",0,243
Колбасные изделия,"Колбаса   полукопченая ""Любительская""","17,6","39,1",0,428
Колбасные изделия,"Колбаса   полукопченая ""Московская""","19,1","36,1",0,402
Колбасные изделия,"Колбаса   полукопченая ""Сервелат""","16,1","40,2",0,423
Колбасные изделия,"Колбаса   сырокопченая ""Любительская""","20,6","47,8",0,511
Колбасные изделия,"Колбаса   сырокопченая ""Московская""","24,3","41,6",0,476
Колбасные изделия,"Колбаса   сырокопченая ""Сервелат""","24,1","40,2",0,453
Колбасные изделия,Салями,"21,3","53,6","1,1",576
Колбасные изделия,Кровянка,"10,6","17,8","14,5",261
Колбасные изделия,Колбаски   охотничьи,"27,1","24,6",0,325
Колбасные изделия,Сосиски куриные,"10,6","22,1","3,3",242
Колбасные изделия,Сосиски свиные,"9,2","23,2","1,7",284
Колбасные изделия,Сосиски говяжьи,"10,3","20,3","0,9",229
Рыба,Горбуша,"21,2","7,1",0,151
Рыба,Лосось,"19,2","13,8",0,200
Рыба,Минтай,"15,7","0,6",0,67
Рыба,Кета,"22,1","5,8",0,138
Рыба,Камбала,16,"2,5",0,86
Рыба,Килька,"14,3","9,2",0,142
Рыба,Корюшка,"15,3","3,3",0,93
Рыба,Навага,"16,7","1,3",0,78
Рыба,Сельдь,"17,3","19,9",0,248
Рыба,Семга,"20,9","15,3",0,222
Рыба,Скумбрия,18,"9,5",0,158
Рыба,Форель,"19,6","2,1",0,99
Рыба,Тунец,"21,7","1,3",0,95
Рыба,Ставрида,18,"5,3",0,119
Икра,Икра кеты,"31,6","13,7",0,250
Икра,Икра минтая,"28,3","1,8",0,127
Икра,Икра осетровая,"28,3","9,6",0,201
Икра,Икра лещевая,"24,6","4,9",0,144
Морепродукты,Кальмар,"18,2","0,2",0,77
Морепродукты,Крабовые палочки,"17,9","2,1",0,73
Морепродукты,Креветка,18,"0,9",0,85
Морепродукты,Раки вареные,"20,3","1,2","1,1",96
Морепродукты,Осьминог,"18,5",0,0,74
Морепродукты,Мидии отварные,"9,7","1,6",0,53
Грибы,Белые свежие,"3,3","1,5","2,4",32
Грибы,Белые сушеные,"23,8","6,8","30,2",277
Грибы,Лисички свежие,"1,5",1,"2,4",22
Грибы,Лисички сушеные,22,"7,2","25,4",268
Грибы,Опята свежие,"1,4",1,"2,5",25
Грибы,Шампиньоны свежие,"4,3","0,9","1,4",29
Грибы,Маслята свежие,"2,5","0,7","1,5",12
Грибы,Вешенки свежие,"2,5","0,5","6,2",34
Яйца,Куриное яйцо,"12,7","11,1","0,6",153
Яйца,Перепелиное яйцо,"11,9","13,3","0,8",170
Яйца,Утиное яйцо,"13,5","14,1","0,2",176
Яйца,Омлет,"9,7","15,5","1,7",181
Масла,Масло растительное   льняное,0,"99,8",0,898
Масла,Масло   растительное подсолнечное,0,"99,9",0,899
Масла,Масло   растительное оливковое,0,"99,8",0,898
Масла,"Масло сливочное   82,5%","0,5","82,5",1,747
Масла,Масло топленое,"0,5","98,1","0,5",885
Масла,Майонез 67%,"3,3",67,"2,4",624
Молочные продукты,Молоко 0%,"2,8",0,"4,6",34
Молочные продукты,Молоко 1%,"2,8",1,"4,6",43
Молочные продукты,"Молоко 2,5%","2,8","2,5","4,6",53
Молочные продукты,"Молоко 3,2%","2,8","3,2","4,6",58
Молочные продукты,Молоко сухое   цельное,"25,2",25,"39,6",477
Молочные продукты,Молоко сгущенное,"7,3","7,7","9,7",139
Молочные продукты,Кефир 0%,"2,8",0,"3,8",29
Молочные продукты,Кефир 1%,"2,8",1,4,37
Молочные продукты,"Кефир 2,5%",3,"2,5",4,51
Молочные продукты,"Кефир 3,2%","3,2","3,2","4,1",57
Молочные продукты,Сметана 10%,3,10,"2,9",118
Молочные продукты,Сметана 15%,3,15,"2,9",163
Молочные продукты,Сметана 20%,3,20,"2,9",208
Молочные продукты,Творог жирный,14,18,"1,9",236
Молочные продукты,Творог нежирный,"18,2","0,6","1,8",89
Молочные продукты,Творог полужирный,"16,5",9,"1,9",156
Молочные продукты,"Ряженка 2,5%","2,9","2,5","4,1",53
Молочные продукты,"Ряженка 4,0%","2,9",4,"4,1",68
Молочные продукты,"Йогурт 1,5%","4,3","1,5","8,4",65
Молочные продукты,"Йогурт 3,2%",5,"3,2","8,9",87
Молочные продукты,Сливки 10%,"2,8",10,"4,1",121
Молочные продукты,Сливки 20%,"2,8",20,"3,9",209
Молочные продукты,Сыр сулугуни,20,"24,2",0,293
Молочные продукты,Сыр российский,"24,1","29,8","0,4",366
Молочные продукты,Сыр пошехонский,"26,4","26,3",0,348
Крупы,Овсяная крупа,"12,3","6,1","59,5",342
Крупы,Кукурузная крупа,"8,3","1,2",71,328
Крупы,Ячневая крупа,10,"1,3","65,4",313
Крупы,Перловая крупа,"9,3","1,1","66,9",315
Крупы,Манная крупа,"10,3",1,38,333
Крупы,Гречневая крупа,"11,2",3,68,350
Крупы,Пшеничная крупа,"11,2",2,"65,7",342
Крупы,Рис белый   длиннозерный,"7,13","0,66","78,65",365
Хлебобулочные изделия,Хлеб пшеничный,"7,4","2,2",53,246
Хлебобулочные изделия,Хлеб ржаной,"4,7","0,6","49,5",210
Хлебобулочные изделия,Сухари пшеничные,"11,6","1,8","72,1",327
Хлебобулочные изделия,Лаваш армянский,"7,7","1,1","47,8",239
Хлебобулочные изделия,Батон нарезной,"9,4","2,7","50,7",261
Хлебобулочные изделия,Баранки,"16,4","1,1","69,7",342
Хлебобулочные изделия,Сушки,"11,1",1,"72,2",335
Хлебобулочные изделия,Булочка,"7,4","1,8","43,7",218
Овощи,Огурцы,"0,7",0,"3,1",15
Овощи,Томаты,"0,7",0,"4,1",19
Овощи,Картофель вареный,2,"0,3","16,5",80
Овощи,Картофель молодой,"2,2","0,3","12,5",57
Овощи,Морковь,"1,3","0,1","6,3",29
Овощи,Лук репчатый,"1,6",0,"9,3",41
Овощи,Редис,"1,5",0,"4,2",22
Овощи,Кабачки,"0,8","0,3","5,9",30
Овощи,Баклажаны,"0,6","0,1","7,5",22
Овощи,Свекла,"1,7",0,"10,5",46
Овощи,Капуста   белокочанная,"1,9",0,"5,7",31
Овощи,Фасоль,"4,4",0,"4,4",36
Овощи,Редька,"1,7",0,"7,1",33
Овощи,Перец сладкий,"1,2",0,5,25
Фрукты,Бананы,"1,7",0,"22,1",87
Фрукты,Апельсины,"0,8",0,"8,6",38
Фрукты,Яблоки,"0,5",0,"11,4",48
Фрукты,Груша,"0,5",0,"10,6",41
Фрукты,Персики,"0,9",0,"10,1",42
Фрукты,Абрикосы,"0,7",0,"10,1",44
Фрукты,Ананас,"0,3",0,"11,9",49
Фрукты,Киви,1,"0,7","9,7",46
Фрукты,Лимон,"0,9",0,"3,3",30
Фрукты,Хурма,"0,7",0,"15,7",61
Фрукты,Мандарин,"0,9",0,"8,8",39
Зелень,Петрушка,"3,8",0,8,45
Зелень,Лук (перо),"1,4",0,"4,2",21
Зелень,Салат,"1,6",0,"2,1",15
Зелень,Щавель,"1,6",0,"5,5",29
Зелень,Шпинат,"2,5",0,"2,6",22
Зелень,Укроп,"2,5","0,5","6,3",40
Зелень,Кинза,"2,1","0,5","1,9",23
Ягоды,Вишня,"0,9",0,"11,1",46
Ягоды,Черешня,"1,3",0,"12,5",54
Ягоды,Клубника,"0,6","0,4",7,30
Ягоды,Земляника,"1,9",0,"7,1",40
Ягоды,Смородина черная,"1,0",0,"8,0",38
Ягоды,Малина,"0,7",0,"9,2",43
Ягоды,Виноград,"0,5",0,"17,8",73
Ягоды,Кизил,"1,1",0,"9,4",42
Ягоды,Ежевика,"1,9",0,"5,1",31
Орехи,Арахис,"26,2","45,3","9,9",555
Орехи,Семя подсолнечника,"20,9","52,5","5,4",582
Орехи,Грецкий орех,"13,5","61,5","10,6",662
Орехи,Кешью,"25,8","54,3","13,3",647
Орехи,Миндаль,"18,3","57,9","13,4",643
Орехи,Фундук,"16,3","66,7","9,8",701
Орехи,Фисташки,20,"50,5","7,3",555
